char,deltaup,deltadown,downtime,uptime,char_index,user
c,1.906498909,0.0778918266296,7.18807697296,7.26597499847,11,kole
e,0.426452875137,0.0946178436279,7.5199110508,7.61453700066,12,kole
=,0.673666000366,0.10139799118,8.09218001366,8.1935839653,13,kole
c,0.659954786301,0.0806999206543,8.67143511772,8.75214099884,14,kole
o,0.247950077057,0.0867760181427,8.83260703087,8.91939091682,15,kole
m,0.443552970886,0.0920159816742,9.18414402008,9.27617192268,16,kole
m,0.42264509201,0.0948770046234,9.51191401482,9.6067969799,17,kole
o,0.695318937302,0.0812730789185,10.1259601116,10.2072389126,18,kole
n,0.313302993774,0.120343923569,10.3189189434,10.4392690659,19,kole
=,0.828942060471,0.117340087891,11.030520916,11.1478669643,20,kole
c,0.442784070969,0.086874961853,11.3864290714,11.4733109474,21,kole
a,0.499742984772,0.0732731819153,11.8128991127,11.8861789703,22,kole
t,0.495396137238,0.0569851398468,12.2513110638,12.3083031178,23,kole
c,0.950225114822,0.0825009346008,13.1190350056,13.2015419006,24,kole
h,0.23232293129,0.0988140106201,13.2525401115,13.3513689041,25,kole
=,1.21119403839,0.102964162827,14.3607740402,14.4637439251,26,kole
4,0.470620155334,0.0931439399719,14.7382500172,14.8313999176,27,kole
5,0.436357975006,0.0860800743103,15.0885269642,15.1746139526,28,kole
;,0.814732074738,0.0553150177002,15.8479449749,15.9032659531,29,kole
;,0.44070482254,0.0610618591309,16.2275879383,16.28865695,30,kole
;,0,0.0662779808044,0,0.0662839412689,0,kole
;,0.451606988907,0.0888698101044,0.362736940384,0.451612949371,1,kole
9,0.49010682106,0.0977230072021,0.755120992661,0.852849960327,2,kole
2,0.972593069077,0.124448060989,1.6032679081,1.72771883011,3,kole
=,0.975651025772,0.116097927094,2.46281695366,2.57892584801,4,kole
d,0.943417072296,0.0735490322113,3.33268690109,3.40624189377,5,kole
i,0.828608036041,0.106167078018,4.05512785912,4.1613008976,6,kole
s,0.355834960938,0.10052895546,4.31043386459,4.41096901894,7,kole
t,0.381233930588,0.0708999633789,4.62076592445,4.69167685509,8,kole
a,0.607265949249,0.0861229896545,5.14191102982,5.22803997993,9,kole
n,0.245448112488,0.0792710781097,5.3080868721,5.38736486435,10,kole
c,1.41853189468,0.105262994766,6.62135601044,6.72662591934,11,kole
e,0.429927110672,0.0888450145721,6.96243882179,7.05128884315,12,kole
=,0.71882891655,0.0340058803558,7.64726185799,7.68127298355,13,kole
c,1.02035403252,0.0764701366425,8.59114599228,8.66762185097,14,kole
o,0.254353046417,0.00715589523315,8.8383409977,8.84550499916,15,kole
m,0.517627000809,0.0764920711517,9.27947497368,9.35597896576,16,kole
m,0.45232796669,0.0859370231628,9.64586901665,9.73181200027,17,kole
o,0.805655956268,0.0821328163147,10.3693909645,10.4515309334,18,kole
n,0.307983875275,0.106262922287,10.5711128712,10.6773819923,19,kole
=,0.720155954361,0.100115060806,11.1911518574,11.2912750244,20,kole
c,0.469156980515,0.0933618545532,11.5669488907,11.6603169441,21,kole
a,0.440774917603,0.0724649429321,11.935256958,12.0077300072,22,kole
t,0.410611867905,0.0636079311371,12.2822608948,12.3458769321,23,kole
c,0.650578975677,0.0752038955688,12.8576369286,12.9328479767,24,kole
h,0.177468061447,0.090234041214,12.9448668957,13.0351159573,25,kole
=,0.920773983002,0.0866270065308,13.7790179253,13.8656518459,26,kole
4,0.395052909851,0.0806498527527,14.0934209824,14.1740779877,27,kole
5,0.394253969193,0.0651440620422,14.4225308895,14.4876818657,28,kole
;,0.744397878647,0.0498337745667,15.1170940399,15.1669359207,29,kole
;,0.380732774734,0.0582687854767,15.4395608902,15.4978339672,30,kole
;,0,0.0720930099487,0,0.0720999240875,0,kole
;,0.472438812256,0.101657867432,0.370781898499,0.472445964813,1,kole
9,0.476207017899,0.0880689620972,0.7589199543,0.846994876862,2,kole
2,0.957136869431,0.0959739685059,1.62008285522,1.71606302261,3,kole
=,0.514023065567,0.121828079224,2.01227593422,2.13411402702,4,kole
d,0.50403213501,0.0683929920197,2.44791793823,2.51631593704,5,kole
i,0.80622792244,0.095584154129,3.15856099129,3.25414991379,6,kole
s,0.499168157578,0.101834058762,3.55589485168,3.65773487091,7,kole
t,0.470376014709,0.0708129405975,3.95545697212,4.0262799263,8,kole
a,0.723906993866,0.0919971466064,4.58736801147,4.67937088013,9,kole
n,0.242204189301,0.0894989967346,4.74007296562,4.8295788765,10,kole
c,1.18945884705,0.0793039798737,5.85022807121,5.92953801155,11,kole
e,0.465903997421,0.079432964325,6.23669886589,6.3161380291,12,kole
=,0.570722103119,0.100536108017,6.70688486099,6.8074259758,13,kole
c,0.671647071838,0.0721440315247,7.30638694763,7.3785378933,14,kole
o,0.28834104538,0.0805101394653,7.51421904564,7.59473395348,15,kole
m,0.451102018356,0.0750920772552,7.89022803307,7.96532893181,16,kole
m,0.459715127945,0.0836329460144,8.26631093025,8.34994888306,17,kole
o,0.682418823242,0.0834999084473,8.86523008347,8.94873595238,18,kole
n,0.306174993515,0.0973420143127,9.07406306267,9.17141199112,19,kole
=,0.454455137253,0.0761702060699,9.45234799385,9.52852487564,20,kole
c,0.762745141983,0.0695230960846,10.1455700397,10.2150988579,21,kole
a,0.456022024155,0.0958769321442,10.5057148933,10.6015980244,22,kole
t,0.426322937012,0.0627648830414,10.8692729473,10.9320440292,23,kole
c,0.805119991302,0.0626301765442,11.6117630005,11.6743988991,24,kole
h,0.190598011017,0.092376947403,11.7099809647,11.8023719788,25,kole
=,0.949072122574,0.100483179092,12.5585730076,12.6590619087,26,kole
4,0.443147182465,0.0910949707031,12.9106259346,13.0017259121,27,kole
5,0.430559873581,0.0778958797455,13.2632889748,13.3411910534,28,kole
;,0.842190980911,0.0525240898132,14.0529549122,14.1054859161,29,kole
;,0.432929039001,0.0739300251007,14.4119548798,14.4858908653,30,kole
;,0,0.0663819313049,0,0.0663890838623,0,kole
;,0.490625858307,0.0931789875031,0.397448062897,0.490633010864,1,kole
9,0.52941608429,0.100514888763,0.826349020004,0.926870107651,2,kole
2,0.982597827911,0.100872993469,1.70807504654,1.80895400047,3,kole
=,0.467350959778,0.0989799499512,2.07644295692,2.17543292046,4,kole
d,0.478535175323,0.103178024292,2.4518020153,2.55498600006,5,kole
i,0.816455841064,0.12140083313,3.14685797691,3.26826310158,6,kole
s,0.463233947754,0.120882034302,3.48920893669,3.61009693146,7,kole
t,0.447479963303,0.0765218734741,3.86016607285,3.93669891357,8,kole
a,0.699683904648,0.0891370773315,4.47071409225,4.55985713005,9,kole
n,0.236279964447,0.0867099761963,4.62028408051,4.70700001717,10,kole
c,1.13462615013,0.10475897789,5.65015006065,5.75491499901,11,kole
e,0.523864984512,0.110349178314,6.06366610527,6.1740219593,12,kole
=,0.563602209091,0.0934410095215,6.5338280201,6.62727403641,13,kole
c,0.73269200325,0.0453760623932,7.22114396095,7.26652598381,14,kole
o,0.24388885498,0.0905888080597,7.3744430542,7.46503901482,15,kole
m,0.407727003098,0.0765261650085,7.70564293861,7.7821791172,16,kole
m,0.452191114426,0.097718000412,8.06011795998,8.15784192085,17,kole
o,0.645097017288,0.0863530635834,8.61886191368,8.70522093773,18,kole
n,0.315834999084,0.117558002472,8.81713891029,8.93470191956,19,kole
=,0.689569950104,0.121475934982,9.38523292542,9.50671505928,20,kole
c,0.492769956589,0.103369951248,9.77463293076,9.87800908089,21,kole
a,0.484667062759,0.134433984756,10.1248660088,10.259305954,22,kole
t,0.423234939575,0.0751271247864,10.472974062,10.5481059551,23,kole
c,0.92182302475,0.0892238616943,11.3055729866,11.3948030472,24,kole
h,0.207542896271,0.110389947891,11.402723074,11.5131270885,25,kole
=,1.00503492355,0.0880379676819,12.3197231293,12.4077670574,26,kole
4,0.422047138214,0.0878190994263,12.653949976,12.7417759895,27,kole
5,0.403650999069,0.0718719959259,12.9857299328,13.0576081276,28,kole
;,0.863594055176,0.0680251121521,13.7812991142,13.8493299484,29,kole
;,0.434327125549,0.0719790458679,14.1436469555,14.2156329155,30,kole
;,0,0.0712621212006,0,0.0712678432465,0,kole
;,0.395797014236,0.0793108940125,0.316485881805,0.395802974701,1,kole
9,0.461683034897,0.0947880744934,0.683380842209,0.778174877167,2,kole
2,0.883874893188,0.0862448215485,1.48100996017,1.56726002693,3,kole
=,0.46876502037,0.100582122803,1.84919404984,1.94978189468,4,kole
d,0.492218971252,0.0805020332336,2.26091194153,2.34141802788,5,kole
i,0.793860197067,0.118995189667,2.93577694893,3.05477786064,6,kole
s,0.449664115906,0.099730014801,3.28570985794,3.38544583321,7,kole
t,0.42756986618,0.0721898078918,3.64108800888,3.71328902245,8,kole
a,0.7563560009,0.0945639610291,4.30288100243,4.39745283127,9,kole
n,0.256941795349,0.0981709957123,4.46165299416,4.55983090401,10,kole
c,1.08834719658,0.103311061859,5.44668889046,5.55000686646,11,kole
e,0.438729047775,0.0891990661621,5.7962179184,5.8854238987,12,kole
=,0.597033977509,0.0963370800018,6.296916008,6.39325904846,13,kole
c,0.656712055206,0.075080871582,6.87854599953,6.95363402367,14,kole
o,0.264454841614,0.0810239315033,7.06197690964,7.14300894737,15,kole
m,0.458385944366,0.0835409164429,7.43682098389,7.52037405968,16,kole
m,0.508579969406,0.0775809288025,7.86782193184,7.9454100132,17,kole
o,0.704281806946,0.080650806427,8.49145197868,8.57210993767,18,kole
n,0.321535825729,0.111790895462,8.70119786263,8.81299495697,19,kole
=,0.613352060318,0.103339195251,9.21121096611,9.31455588341,20,kole
c,1.68730902672,0.104481935501,10.7940380573,10.8985259533,21,kole
a,0.4622631073,0.121807098389,11.1344938278,11.2563068867,22,kole
t,0.435033082962,0.0866451263428,11.4828808308,11.5695328712,23,kole
c,0.812587022781,0.0781018733978,12.2173659801,12.2954750061,24,kole
h,0.187345981598,0.0922801494598,12.3124279976,12.4047248363,25,kole
=,1.18124008179,0.123022079468,13.3706510067,13.4936790466,26,kole
4,0.429548978806,0.101495981216,13.6987030506,13.800205946,27,kole
5,0.41910815239,0.0794830322266,14.038328886,14.1178178787,28,kole
;,0.804617881775,0.081750869751,14.7611949444,14.8429529667,29,kole
;,0.430423021317,0.0876531600952,15.103965044,15.1916248798,30,kole
;,0,0.0727269649506,0,0.0727341175079,0,kole
;,0.383350133896,0.0965690612793,0.286782026291,0.383357048035,1,kole
9,0.430099010468,0.119518041611,0.597362041473,0.716886043549,2,kole
2,0.872591972351,0.0932478904724,1.3767080307,1.46996116638,3,kole
=,0.449772834778,0.11865901947,1.70781898499,1.82648801804,4,kole
d,0.46887922287,0.0782132148743,2.09848713875,2.17670702934,5,kole
i,0.850135087967,0.1203520298,2.82826900482,2.94862914085,6,kole
s,0.461110115051,0.109028100967,3.18035101891,3.28938603401,7,kole
t,0.401869058609,0.0693459510803,3.51287317276,3.58223009109,8,kole
a,0.68253993988,0.0933780670166,4.10203719139,4.19542098045,9,kole
n,0.242761135101,0.0838620662689,4.2609360218,4.34480500221,10,kole
c,1.09994387627,0.0933599472046,5.26751899719,5.36088609695,11,kole
e,0.442420959473,0.0990519523621,5.6108880043,5.7099480629,12,kole
=,0.474220991135,0.129781007767,5.95532917976,6.08511614799,13,kole
c,0.71107506752,0.0778861045837,6.5885181427,6.66641020775,14,kole
o,0.290613174438,0.0803010463715,6.798828125,6.87913703918,15,kole
m,0.463528871536,0.0905528068542,7.17180299759,7.26236915588,16,kole
m,0.439075946808,0.0891239643097,7.52175807953,7.6108891964,17,kole
o,0.691613912582,0.0975909233093,8.1157810688,8.21337819099,18,kole
n,0.322818994522,0.11176109314,8.3268392086,8.43860602379,19,kole
=,0.825001001358,0.114706993103,9.03713297844,9.15184617043,20,kole
